id,section,description,command
24UNIX#,UNIX#,Install GNU Parallel,(wget -O - pi.dk/3 || curl pi.dk/3/) | bash
25UNIX#,UNIX#,GNU Parallel,"cat listofthings.txt | parallel --max-procs=8 --group 'echo ""Thing: {}""'"
26UNIX#,UNIX#,System Level Global Variable in Unix (like export var=xx but for all users): add to file,/etc/environment
27UNIX#,UNIX#,Create a passwordless sudo access for user yash: in /etc/sudoers,yash         ALL = (ALL) NOPASSWD: ALL
28UNIX#,UNIX#,Create a passwordless ssh access to your machine:,file in ~/.ssh/
29UNIX#,UNIX#,Rsync copy files from local server to remote,rsync -avzhe ssh backup.tar --exclude='.git' root@remote_server:/path/to/dir
30UNIX#,UNIX#,Rsync copy files from remote server to local,rsync -avzhe ssh backup.tar --exclude='.git' root@remote_server:/path/to/dir
31UNIX#,UNIX#,List Ip Tables,sudo iptables -L
32UNIX#,UNIX#,Add someone to sudoers file,visudo
33UNIX#,UNIX#,Log of mail sent from a server using the mail command,tail -f /var/log/mail.log
34UNIX#,UNIX#,Generate random number,echo $RANDOM
35UNIX#,UNIX#,Get the filename from the file path,basename /home/yash/xman.h
36UNIX#,UNIX#,list details of file/folder (stuff you see in ls),stat /tmp
37UNIX#,UNIX#,tcpdump take dump of packets tcp,http://www.danielmiessler.com/study/tcpdump/
38UNIX#,UNIX#,Crontab Cron: Run every x minutes,*/x * * * * /path/to/script
39UNIX#,UNIX#,Crontab syntax for schedule,"*  *  *  *  * where order is min(0-59), hour(0-23), day of month(1-31), month(1-12), day of week(0-6 where Sunday=0)"
40UNIX#,UNIX#,Crontab syntax for every other hour,0 */2 * * *
41UNIX#,UNIX#,Power top,top - show list of processes - Press F to sort
42UNIX#,UNIX#,top Dump output of top to stdout once,top -b -n 1
43UNIX#,UNIX#,top Dump output of top to stdout once with full commands,top -c -b -n 1
44UNIX#,UNIX#,top Monitor certain pids,"top -p <pid1>, <pid2>"
45UNIX#,UNIX#,top monitor processes for a user,top -U username
46UNIX#,UNIX#,show list of processes,nmon
47UNIX#,UNIX#,Print all open file handles on a file,sudo lsof name/of/file
48UNIX#,UNIX#,Zsh unix search command history,"Ctrl + r , type the keyword and keep hitting Ctrl + r to go futher in the search"
49UNIX#,UNIX#,Shell script echo commands as your execute every line,#!/bin/bash -x
50UNIX#,UNIX#,Kill only pids containing a string,pkill -f <string>
51UNIX#,UNIX#,Shell script exit when one command in a script fails,#!/bin/bash -e
52UNIX#,UNIX#,Create file of size x bytes (binary),dd if=/dev/zero of=/path/to/desired/big/file count=1024
53UNIX#,UNIX#,Run last command with sudo,sudo !!
54UNIX#,UNIX#,Secure copy scp multiple files from a remote host,"scp your_username@remotehost.edu:~/\{foo.txt,bar.txt\} ."
55UNIX#,UNIX#,Secure copy scp multiple files from a remote host with ranges,"scp your_username@remotehost.edu:~/foo_00{1..6} . # copies foo_001, foo_002, fo.., foo_006"
56UNIX#,UNIX#,Split a file in to multiple files and tar,tar -cvf - <stuff to put in archive> | split --bytes=1m --suffix-length=4 --numeric-suffix - myarchive.tar.
57UNIX#,UNIX#,Merge the output of split - multiple files,cat arch/dw-master.tar.* | tar xvf -
58UNIX#,UNIX#,Amount of RAM on a box in gigabytes,free -mg
59UNIX#,UNIX#,paste the argument of the previous command,ESC + .
60UNIX#,UNIX#,Unix signal SIGINT Ctrl-C,"The SIGINT signal is sent to a process by its controlling terminal when a user wishes to interrupt the process. This is typically initiated by pressing Control-C, but on some systems, the ""delete"" character or ""break"" key can be used.[3]"
61UNIX#,UNIX#,Unix signal SIGTERM,"The SIGTERM signal is sent to a process to request its termination. Unlike the SIGKILL signal, it can be caught and interpreted or ignored by the process. This allows the process to perform nice termination releasing resources and saving state if appropriate. It should be noted that SIGINT is nearly identical to SIGTERM."
62UNIX#,UNIX#,Unix signal SIGKILL,"The SIGKILL signal is sent to a process to cause it to terminate immediately (kill). In contrast to SIGTERM and SIGINT, this signal cannot be caught or ignored, and the receiving process cannot perform any clean-up upon receiving this signal."
63UNIX#,UNIX#,Unix signal SIGQUIT Ctrl-D,The SIGQUIT signal is sent to a process by its controlling terminal when the user requests that the process quit and perform a core dump.
64UNIX#,UNIX#,Unix signal SIGHUP,"The SIGHUP signal is sent to a process when its controlling terminal is closed. It was originally designed to notify the process of a serial line drop (a hangup). In modern systems, this signal usually means that the controlling pseudo or virtual terminal has been closed.[2]"
65UNIX#,UNIX#,Unix signal SIGSTP Ctrl-Z,"Suspends a process. This too, can be handled, ignored or blocked. Since it does not terminate the process, the process can be resumed by sending a SIGCONT signal. This signal can be generated by pressing Ctrl+Z. (Sidenote: Ctrl+Z stands for substitute character which indicates End-of-File in DOS)"
66UNIX#,UNIX#,Find files with regex,find . -path '.*/config.xml' | grep <search_string>
67UNIX#,UNIX#,remove files older than 5 days on unix,find /my_current_directory -mtime +5 -type f -delete
68UNIX#,UNIX#,print files modified in the last 24 hours,find /directory_path -type f -mtime -1 -print
69UNIX#,UNIX#,monitor cpu memory and other shit,nmon
70UNIX#,UNIX#,Free resident set size (rss res) memory on a server,free -g
71UNIX#,UNIX#,unix linux ubuntu get stats on what the pid is doing,strace -p PID
72UNIX#,UNIX#,Count number of forks a application makes,sudo strace -o /tmp/strace.log -fFv  python -m SimpleHTTPServer 8283
73UNIX#,UNIX#,Sum numbers,numbers | awk '{s+=$0} END {print s}'
74UNIX#,UNIX#,awk print lines from line number x onwards,awk 'NR > x' name/of/file
75UNIX#,UNIX#,print limit of open file handles,ulimit -a
76UNIX#,UNIX#,list all packages ubuntu,dpkg -l
77UNIX#,UNIX#,which user are you logged in as,whoami
78UNIX#,UNIX#,what users are logged in the box,who
79UNIX#,UNIX#,List open ssh connections to a server,Try netstat -atn | grep ':22'
80UNIX#,UNIX#,ssh default port is port 22,""
81UNIX#,UNIX#,Get all host names of a particular server,nslookup server_host.com
82UNIX#,UNIX#,Create simple http server on a port,python -m SimpleHTTPServer 8000
83UNIX#,UNIX#,Set up ssh tunnel from localhost:8000 to remote:8888,ssh -N root@remote_server -L 8000:localhost:8888
84UNIX#,UNIX#,Syslog location,cat /var/log/syslog
85UNIX#,UNIX#,Get encoding of a file,file -i name_of_file
86UNIX#,UNIX#,ID of the user as recognized by the system,id root
87UNIX#,UNIX#,Get user and group of the user,id -Gn username
88UNIX#,UNIX#,List users that can ssh,cat /etc/ssh/sshd_config
89UNIX#,UNIX#,Mount a directory on remote,"First, sudo mkdir /local/mount/point/directory Then, sudo mount ServerIP:/folder/already/setup/to/be/shared /loca/mount/point/directory"
90UNIX#,UNIX#,To make a permanent mount add the following to /etc/fstab,"servername:dir /mntpoint nfs rw,hard,intr 0 0"
91UNIX#,UNIX#,List all mounted devices (< partition >< mount point >< file system >< mount options >< dump >< fsck order >),cat /etc/mtab
92UNIX#,UNIX#,List all mounted/unmounted devices,cat /etc/fstab
93UNIX#,UNIX#,Show devices that use this host,showmount -a
94UNIX#,UNIX#,NFS,"export, exportfs"
95UNIX#,UNIX#,check if a port is open on a remote server,telnet host port_number or nc -vz -w 2 database-box-1.internal.com 27017
96UNIX#,UNIX#,Add sudo user,visudo then add the following line: user ALL=(ALL) ALL
97UNIX#,UNIX#,list all the users in unix,cat /etc/passwd
98UNIX#,UNIX#,make sub directories when necessary,mkdir -p path/to/directory
99UNIX#,UNIX#,export a env variable,export PATH=$PATH:/opt/bin:/usr/local/bin:$HOME/bin
100UNIX#,UNIX#,show environment variables,env
101UNIX#,UNIX#,Export a environment variable to all user,modify /etc/profile
102UNIX#,UNIX#,Print name of shell you are using,echo $0
103UNIX#,UNIX#,Get the current pid of the session,$$
104UNIX#,UNIX#,GZIP TAR - compress a directory,tar -zcvf dest_file.tar.gz /folder/to/compress
105UNIX#,UNIX#,To restore file,tar -zxvf dest_file.tar.gz [file/path/to/decompress]
106UNIX#,UNIX#,Generate a random password 16 characters,pwgen 16
107UNIX#,UNIX#,Create symlink symbolic link,ln -s /path/to/file-name link-name
108UNIX#,UNIX#,List all open ports,netstat -lnptu
109UNIX#,UNIX#,Set unix path environment variable,export GRADLE_HOME=/Users/yasha/Software/gradle-1.1
110UNIX#,UNIX#,Create User / password,useradd -m tom; passwd tom
111UNIX#,UNIX#,Add existing user to a group,usermod -G grpname uname
112UNIX#,UNIX#,in ~/.bashrc,alias ls='ls -lartSh'
113UNIX#,UNIX#,Find the unix linux distro operating system,cat /etc/*-release OR lsb_release -a
114UNIX#,UNIX#,Find the if 64 or 32 bit,uname -a
115UNIX#,UNIX#,Find the,cat /etc/group
116UNIX#,UNIX#,Change owner and group recursive,chown -R username:groupname <name_of_dir>
117UNIX#,UNIX#,Change Permission Recursive,"chmod -R 775 folder_name where 775 is (user, group, other)"
118UNIX#,UNIX#,Show the Proceslist,"ps -ef | grep -i ""yash"""
119UNIX#,UNIX#,Octal Dump,cat file | od -cb
120UNIX#,UNIX#,FTP,ftp ftp://username:password@ftp.host.com
121UNIX#,UNIX#,Get IP Address of the current system,/sbin/ifconfig | less
122UNIX#,UNIX#,Get IP address,ip -f inet a | awk '/inet / { print $2 }' or ifconfig | sed -n 's/.*inet addr:\([0-9.]\+\)\s.*/\1/p'
123UNIX#,UNIX#,UNIX COMMENT:,COMMENT
124UNIX#,UNIX#,Change Password,passwd
125UNIX#,UNIX#,the file encoding,file <nameoffile> or file -I <nameoffile>
126UNIX#,UNIX#,Find files,find -name 'name_of_file'
127UNIX#,UNIX#,Find in files text,"grep -R yourstring /path/to/dir or find . -exec grep ""www.athabasca"" '{}' \; -print"
128UNIX#,UNIX#,Find on all disks,find / -name file.extension
129UNIX#,UNIX#,Find files using regular expressions. this will find files in dir ./chunker_somestring/lastSuccessful,"find -regex "".*chunker.*/lastSuccessful"" | xargs grep -r -i string_to_grep"
130UNIX#,UNIX#,Inline calculator in shell,"echo ""2/3"" | bc"
131UNIX#,UNIX#,Linux Directory Structure,http://linuxcommand.org/lts0040.php#root
132UNIX#,UNIX#,Show the bottom of the log file and refresh,tail -f filename
133UNIX#,UNIX#,To get the nth line of a file,head -45 foo.txt | tail -1
134UNIX#,UNIX#,Convert DOS to UNIX dos2unix file csv,tr '\r' '\n' < delme.csv > out.csv
135UNIX#,UNIX#,Daemon services using init.d,sudo service name_of_serive start/stop/restart
136UNIX#,UNIX#,See if a upstart service is running,status name_of_service
137UNIX#,UNIX#,Start upstart service,sudo start name_of_service
138UNIX#,UNIX#,Stop upstart service,sudo stop name_of_service
139UNIX#,UNIX#,upstart list all services,initctl list
140UNIX#,UNIX#,List space occupied by directories in current directory:,du -sk *
141UNIX#,UNIX#,List space global:,df -k
142UNIX#,UNIX#,Apply a certain rule on a certain type of file:,"find . -name ""*.bak"" -print0 | xargs -0 -I file mv file ~/old.files"
143UNIX#,UNIX#,find and replace in unix,sed -i 's/source/target/g' nameoffile
144UNIX#,UNIX#,find and replace in Mac OSX,sed -i '' 's/source/target/g' nameoffile
145GIT#,GIT#,Git checkout tag,git checkout tags/<tag>
146GIT#,GIT#,git remove a file from the index (will undo addition to the index),git reset HEAD <file>
147GIT#,GIT#,git show commits with abbreviated hash,"git log --pretty=format:""%h %an %s"""
148GIT#,GIT#,git show commits for a branch,git log --first-parent --no-merges
149GIT#,GIT#,git log show file names that have been modified,git log --name-status
150GIT#,GIT#,git config -l,git config remote.origin.url git@github.com:your_username/your_project.git
151GIT#,GIT#,Git Squash Commit (prefix every line to squash with s),git rebase -i master
152GIT#,GIT#,Git show remotes,git remote -v show
153GIT#,GIT#,Git ammend a previous commmit,git commit --amend
154GIT#,GIT#,Git remote add a new upstream,git remote add upstream yourrepo.git
155GIT#,GIT#,Git branches,https://github.com/Kunena/Kunena-2.0/wiki/Create-a-new-branch-with-git-and-manage-branches
156GIT#,GIT#,Git create a branch,git branch name_of_branch
157GIT#,GIT#,Git rename a branch,git branch -m old_branch new_branch
158GIT#,GIT#,Git push to branch,git push origin <branch name>
159GIT#,GIT#,Git Delete Branch,git branch -D <branch name>
160GIT#,GIT#,Git delete branch from remote,git push origin :newfeature
161GIT#,GIT#,Git do a diff with HEAD,git diff HEAD
162GIT#,GIT#,Git diff with a remote repo,git diff DATA-1724 gerrit/master
163GIT#,GIT#,Git do a diff with a particular branch,git difftool somebranch:UNREADME otherbranch:README
164GIT#,GIT#,Git diff with a previous commit,git diff 5cdfs6ed HEAD index.html
165GIT#,GIT#,Git reset to head,git reset --hard HEAD
166GIT#,GIT#,Git checkout previous commit,git checkout 1dcf2d
167GIT#,GIT#,Git undo changes to a file not staged for commit,git checkout -- filename
168GIT#,GIT#,Git merge branch to master,git merge branchname
169GIT#,GIT#,Git show list of branches,git branch
170GIT#,GIT#,Git Create branch,git branch branchname
171GIT#,GIT#,Git Remove a branch from local,git branch -D branchname
172GIT#,GIT#,Git Delete branch from github,git push origin --delete <branchName>
173GIT#,GIT#,Git reset to a previous state,git reset --hard to reset to a previous state. Use the git-reflog command to find the SHA-1 of the previous state and then reset to it.
174GIT#,GIT#,Git merge only certain files from a separate branch,git checkout branchname pathtofile1 pathtofile2
175GIT#,GIT#,Git revert to a previous commit,http://stackoverflow.com/questions/4114095/git-revert-to-previous-commit-how
176GIT#,GIT#,Git stash,git stash
177GIT#,GIT#,To list the stash,git stash list
178GIT#,GIT#,Git show log with file names that changed,git log --stat
179GIT#,GIT#,Git show changes for a specific branch only,git log master..
180GIT#,GIT#,Git cat a previous version,git show HEAD:name_of_file
181GIT#,GIT#,TO apply your changes,git stash --apply
