id,section,description,command
194Mysql#,Mysql#,MYSQL Commands,mysqldump --quick --single-transaction --host=database.companyname.local -uyash -ppassword c_prod iso_3166_2 | mysql -h database -uroot -ppassword c_prod
195Mysql#,Mysql#,Backup mysql table in a file,mysqldump --opt --quick --single-transaction --host=database.companyname.local -uyash -ppassword c_active master_company | gzip --fast > /tmp/c_active_master_company_20130318
196Mysql#,Mysql#,Copy routines only of one table to another server,mysqldump --no-data=true --add-drop-table=false --no-create-info --routines --host=database.companyname.local -uyash -ppassword dq | mysql -h database -uroot -ppassword dq
197Mysql#,Mysql#,Import csv from one server to another,"mysqlimport -h db-data2 --verbose --local --default-character-set=utf8 --columns=""sic,industry,sub_industry""  --fields-terminated-by="",""  -uyash -ppassword c_active sic_lookup_production.csv"
198Mysql#,Mysql#,To empty table before importing file,"mysqlimport -h database.companyname.local --verbose --local --default-character-set=utf8 --columns=""sid,company_cleaned""  --fields-terminated-by=""\t"" --delete -uyash -ppassword c_prod /Users/yasha/sink/gold_list.tsv"
199Mysql#,Mysql#,Import csv when fields have commas in them,"mysqlimport --verbose --local --default-character-set=utf8 --fields-terminated-by="","" --fields-optionally-enclosed-by=""\"""" -uroot -ppassword c_source dnbcompanies_input.csv"
200Mysql#,Mysql#,To see warnings,"mysql -h db-data2 -uyash -ppassword --execute=""LOAD DATA INFILE '~/sink/eol_stock_ticker_201302.tsv' INTO TABLE eol_stock_ticker_201302 FIELDS TERMINATED BY '\t'; SHOW WARNINGS;"""
201Mysql#,Mysql#,MySQL Rename column,alter table tblname change col_old_name  col_new_name varchar(50) DEFAULT NULL
202Mysql#,Mysql#,MYSQL MAKE COPY OF A TABLE,INSERT recipes_new SELECT * FROM production.recipes;
203Mysql#,Mysql#,show variables like '%slow%'; -- shows you variables on the mysql server,show variables like '%time_zone%'; -- timezone
204RVM#,RVM#,Use a particular ruby and gemset,rvm use version@gemset
205RVM#,RVM#,rvm set default,rvm use  ruby-2.1.2 --default
206RVM#,RVM#,Put this line in your ~/.zshrc,"[[ -s ""$HOME/.rvm/scripts/rvm"" ]] && . ""$HOME/.rvm/scripts/rvm"""
207RVM#,RVM#,On ubuntu boxes,source ~/.rvm/scripts/rvm
208RVM#,RVM#,Use a ruby version with a gemset version (create if not exists),rvm use 2.1.1@teddy --create
209RVM#,RVM#,List rvm gemsets,rvm gemset list/use
210jquery#,jquery#,Selector for class,"$("".class"")"
211jquery#,jquery#,Selector for id,"$(""#id"")"
212C++ Build Make Packages#,C++ Build Make Packages#,./configure,Usually the workload is stored in a makefile
213Storm#,Storm#,"topology.message.timeout.secs = The maximum amount of time given to the topology to fully process a message emitted by a spout. If the message is not acked within this time frame, Storm will fail the message on the spout.",http://www.michael-noll.com/blog/uploads/Storm_example_of_a_running_topology.png
214Storm#,Storm#,To run a topology on the production cluster,"storm jar storm-starter.jar com.lookout.data.storm.TestTopology /home/yranadive/config.settings.properties ""settings-topo"""
215Storm#,Storm#,To kill a topology,storm kill yash-test
216Storm#,Storm#,Log directory for workers is,/usr/local or ~/apache-storm-0.9.1-incubating/logs
217Storm#,Storm#,Logviewer,http://qa-storm-data.flexilis.net:8000/log?file=nimbus.log&tail=1000&grep={regexp}
218Storm#,Storm#,Logviewer get worker node ids (usually ~of type 67XX),http://qa-storm-data.flexilis.net:8000/log?file=nimbus.log&tail=10000&grep=Setting%20new%20assignment%20for%20topology%20id
219Storm#,Storm#,Storm.local.dir = /storm,""
220GRADLE#,GRADLE#,Default tasks:,gradle jar
221GRADLE#,GRADLE#,Dependency tree,gradle dependencyInsight --dependency guava
222NTS#,NTS#,Before writing a functin always always write what the desired output is. This will help you focus on what the function is,""
223Text Wrangler#,Text Wrangler#,Shift Left : Command + [,Change shift magnitude in preferences > Editor Defaults
224webgl# threejs# three.js#,webgl# threejs# three.js#,Scene 	<- Mesh 	<- geometry,"Each mesh can have position.x,y,z"
225GIT#,GIT#,GITHUB - WEB UI Search Commands,"Matches code where ""octocat"" appears in the file contents"
226GIT#,GIT#,octocat in:path,"Matches code where ""octocat"" appears in the path name"
227GIT#,GIT#,"octocat in:file,path","Matches code where ""octocat"" appears in the file contents or the path name"
228GIT#,GIT#,GITHUB - make git push not ask you username and password everytime,git rebase --continue  ---->look in to this
229GIT#,GIT#,git remove a file from the index (will undo addition to the index),git reset HEAD <file>
230GIT#,GIT#,git show commits with abbreviated hash,"git log --pretty=format:""%h %an %s"" | grep e117f40"
231GIT#,GIT#,git show commits for a branch,git log --first-parent --no-merges
232GIT#,GIT#,git show file names that have been modified,git log --name-status
233GIT#,GIT#,git config -l,git config remote.origin.url git@github.com:your_username/your_project.git
234GIT#,GIT#,Git Squash Commit (prefix every line to squash with s),git rebase -i master
235GIT#,GIT#,Git show remotes,git remote -v show
236GIT#,GIT#,Git ammend a previous commmit,git commit --amend
237GIT#,GIT#,Git remote add a new upstream,git remote add upstream yourrepo.git
238GIT#,GIT#,Git branches,https://github.com/Kunena/Kunena-2.0/wiki/Create-a-new-branch-with-git-and-manage-branches
239GIT#,GIT#,Git create a branch,git branch name_of_branch
240GIT#,GIT#,Git rename a branch,git branch -m old_branch new_branch
241GIT#,GIT#,Git push to branch,git push origin <branch name>
242GIT#,GIT#,Git Delete Branch,git branch -D <branch name>
243GIT#,GIT#,Git delete branch from remote,git push origin :newfeature
244GIT#,GIT#,Git do a diff with HEAD,git diff HEAD
245GIT#,GIT#,Git diff with a remote repo,git diff DATA-1724 gerrit/master
246GIT#,GIT#,Git do a diff with a particular branch,git difftool somebranch:UNREADME otherbranch:README
247GIT#,GIT#,Git diff with a previous commit,git diff 5cdfs6ed HEAD index.html
248GIT#,GIT#,Git reset to head,git reset --hard HEAD
249GIT#,GIT#,Git checkout previous commit,git checkout 1dcf2d
250GIT#,GIT#,Git undo changes to a file not staged for commit,git checkout -- filename
251GIT#,GIT#,Git merge branch to master,git merge branchname
252GIT#,GIT#,Git show list of branches,git branch
253GIT#,GIT#,Git Create branch,git branch branchname
254GIT#,GIT#,Git Remove a branch from local,git branch -D branchname
255GIT#,GIT#,Git Delete branch from github,git push origin --delete <branchName>
256GIT#,GIT#,Git reset to a previous state,git reset --hard to reset to a previous state. Use the git-reflog command to find the SHA-1 of the previous state and then reset to it.
257GIT#,GIT#,Git merge only certain files from a separate branch,git checkout branchname pathtofile1 pathtofile2
258GIT#,GIT#,Git revert to a previous commit,http://stackoverflow.com/questions/4114095/git-revert-to-previous-commit-how
259GIT#,GIT#,Git stash,git stash
260GIT#,GIT#,To list the stash,git stash list
261GIT#,GIT#,Git show log with file names that changed,git log --stat
262GIT#,GIT#,Git show changes for a specific branch only,git log master..
263GIT#,GIT#,Git cat a previous version,git show HEAD:name_of_file
264GIT#,GIT#,TO apply your changes,git stash --apply
265GIT#,GIT#,Git show history of the file,gitk [filename]
266GIT#,GIT#,How to setup a new repo on gerrit,3.
267html#,html#,Add javascript to HTML,<script type='text/javascript' src='jquery.min.js'></script>
268html#,html#,Add CSS to HTML,"<link rel=""stylesheet"" href=""mystyle.css"">"
269html#,html#,Input Element,"<input class=""typeahead"" id=""token"" type=""text"" placeholder=""Language/Region"">"
270html#,html#,Button,"<button id=""copy-button"" data-clipboard-text=""Copy Me!"" title=""Click to copy me."">Copy to Clipboard</button>"
271css#,css#,selector for class,.classname {}
272css#,css#,selector for id,#id_of_element {}
273css#,css#,cyan RGB Values,Deep Blue RGB Values
274javascript#,javascript#,Create prototype function,}
275javascript#,javascript#,Local variable scope,}
276javascript#,javascript#,Append to array,"fruits.push(""Kiwi"");"
277JAVA# JAR#,JAVA# JAR#,Create java jar with dependencies using pom/maven,https://gist.github.com/yash-ranadive/60152cbf0afd2351ae37
278JAVA# JAR#,JAVA# JAR#,Run a class (which has main method) in a jar,java -cp jar-file.jar name.of.package.classname
279JAVA# JAR#,JAVA# JAR#,JAVA THREAD DUMP,jstack pid
280JAVA# JAR#,JAVA# JAR#,JAVA Memory allocation and heap,jmap -histo pid
281JAVA# JAR#,JAVA# JAR#,JAVA maven mvn,mvn clean install
282JAVA# JAR#,JAVA# JAR#,Maven clean and force update of dependencies,mvn clean install -U
283JAVA# JAR#,JAVA# JAR#,Maven more verbose outuput,mvn -X
284JAVA# JAR#,JAVA# JAR#,ant# ant build a jar,ant
285JAVA# JAR#,JAVA# JAR#,jar see contents,jar -tf nameofjar.jar
286Hbase#,Hbase#,Create table,"create 't1', 'f1'"
287Hbase#,Hbase#,Drop table,drop 'security'
288Hbase#,Hbase#,Put value,"put 'tbl_name', 'row', 'column', 'value'"
289HIVE#,HIVE#,Describe/show partition information,"describe formatted mixpanel_dwa_raw partition (year=2015,month=03,day=15);"
290HIVE#,HIVE#,HIVE CLI settings,set hive.cli.print.current.db=true;
291HIVE#,HIVE#,Substring,"select substr(string|binary A, int start, int len) from table;"
292HIVE#,HIVE#,JSON Parsing,"SELECT get_json_object(theft_alerts.event_data, '$.related[0].meta.correlator') from theft_alerts limit 2;"
293HIVE#,HIVE#,"CREATE VIEW theft_alerts_removed_sim(type, old_phone_number)",WHERE event_type='removed_sim';
294HIVE#,HIVE#,Hive parameters params,http://docs.hortonworks.com/HDPDocuments/HDP1/HDP-1.2.1/ds_Hive/language_manual/configproperties.html#ConfigurationProperties-Locking
295HIVE#,HIVE#,hive Rename table,ALTER TABLE table_name RENAME TO new_table_name
296HIVE#,HIVE#,Hive CLI log file location,/tmp/nameofuser
297HIVE#,HIVE#,Hive regex like,select * from table where field RLIKE 'REGEX'
